Neighborhood,Population
Capitol Hill,21760
N Capitol Hill,16480
Cheesman Park,15130
Speer,12830
Westwood,10350
Congress Park,9940
North Aurora,9830
West Colfax,9760
Eash Colfax,9530
Villa Park,8760
Mar Lee,8330
Bamum,8030
West Highland,7600
Goldsmith,7520
University,7480
Delmar Pkwy,7470
Washingtom Park West,7360
Windsor,7320
Highland,7300
Fivepoints,7200
Hale,7100
Washington Virginia Vale,7080
Harvey Park,6950
Sunnyside,6850
Ruby Hill,6760
Cherry Creek,6680
Bear Valley,6490
Sloan Lake,6450
University Park,6440
Northeast Park Hill,6370
Virginia Village,6320
Harvey Park South,6160
Montbello,6010
Hampden,5930
Athmar Park,5900
Berkeley,5840
South Park Hill,5760
Marston,5140
Hampden South,5000
Lincoln Park,4790
Hilltop,4750
Washington Paark,4660
College View - South Platte,4530
Gateway - Green Valley Ranch,4010
University Hills,3660
Fort Logan,3180
Lowry Field,3140
Elyria Swansea,2470
Northeast Park Hill,2340
Stapleton,1560
Regis,7866
Chaffee Park,5602
Clayton,4253
DIA,9073
East Colfax,36008
CBD,2997
Auraria,3606
Belcaro,5827
Cory - Merrill,4749
Rosedate,2598
