FACILITY_ID,ADDRESS,CITY,STATE,ZIPCODE,METRO_AREA,FACILITY_NAME,LONGITUDE,LATITUDE,POINT_LON,POINT_LAT,FACILITY_TYPE,TRANSIT_SERVICE,MODE_BUS,MODE_AIR,MODE_RAIL,MODE_FERRY
CO8011102, 4855 S Quebec St,Denver,CO,80111,Denver-Aurora-Lakewood CO,Belleview Station,-104.9,39.6265,-104.9041,39.6265,8,1,1,0,1,0
CO8020201,1701 Wynkoop St,Denver,CO,80202,Denver-Aurora-Lakewood CO,Union Station,-105,39.75322,-105.00007,39.75279,10,1,1,0,1,0
CO8020202,1701 Wynkoop St,Denver,CO,80202,Denver-Aurora-Lakewood CO,Denver Union Station,-105,39.7529,-105.00007,39.75279,2,1,1,0,1,0
CO8020203,1055 19th St,Denver,CO,80202,Denver-Aurora-Lakewood CO,Denver Bus Center,-104.99,39.7505,-104.992,39.7505,2,1,1,0,0,0
CO8020204,1600 Wewatta St,Denver,CO,80202,Denver-Aurora-Lakewood CO,Union Station,-105,39.7555,-105.002025,39.754685,8,1,1,0,1,0
CO8020205,1617 Stout St,Denver,CO,80202,Denver-Aurora-Lakewood CO,16th & Stout Station,-104.99,39.7461,-104.9929,39.7461,8,1,1,0,1,0
CO8020206,1816 Stout St,Denver,CO,80202,Denver-Aurora-Lakewood CO,18th & Stout Station,-104.99,39.7478,-104.9904,39.7478,8,1,1,0,1,0
CO8020207,1325 Stout St,Denver,CO,80202,Denver-Aurora-Lakewood CO,Theatre District/Convention Center,-105,39.7438,-104.995735,39.74394,8,1,0,0,1,0
CO8020208,1516 California St,Denver,CO,80202,Denver-Aurora-Lakewood CO,16th & California Station,-104.99,39.7444,-104.9931,39.7444,8,1,1,0,1,0
CO8020209,1600 Market Street,Denver,CO,80202,Denver-Aurora-Lakewood CO,,-105,39.750151,-104.998234,39.750151,12,1,1,0,0,0
CO8020210,15th and Platte,Denver,CO,80202,Denver-Aurora-Lakewood CO,,-105.01,39.75642,-105.008781,39.75642,12,1,1,0,0,0
CO8020211,16th and Broadway,Denver,CO,80202,Denver-Aurora-Lakewood CO,,-104.99,39.741696,-104.987334,39.741696,12,1,1,0,0,0
