id,Name,Claimed,Address,zipcode,Website,Reviews,Rating,Price_Range,Categories,URL
990,Moe’s Broadway Bagel,Yes,"550 Grant St, Denver, CO, 80203",80203,moesbagel.com,282,4,$,"Bagels,
                    Breakfast & Brunch,
                    Sandwiches",https://www.yelp.com/biz/moes-broadway-bagel-denver
989,Crepes ‘n Crepes,Yes,"2816 E 3rd Ave, Denver, CO, 80206",80206,crepesncrepes.net,318,4,$$,"Creperies,
                    French,
                    Breakfast & Brunch",https://www.yelp.com/biz/crepes-n-crepes-denver
988,Mangiamo Pronto,Yes,"1601 17th St, Denver, CO, 80202",80202,denveritalianrestaurants.net,167,4,$$,"Italian,
                    Pizza,
                    Bars",https://www.yelp.com/biz/mangiamo-pronto-denver
987,Backcountry Delicatessen,Yes,"444 17th St, Denver, CO, 80202",80202,backcountry-deli.com,72,4,$,"Salad,
                    Delis,
                    Sandwiches",https://www.yelp.com/biz/backcountry-delicatessen-denver-3
986,Brava! Pizzeria Della Strada,Yes,"3200 Pecos St, Denver, CO, 80211",80211,bravapizza.com,84,4.5,$,"Pizza,
                    Italian",https://www.yelp.com/biz/brava-pizzeria-della-strada-denver-3
985,La Casa De Manuel,Yes,"3158 Larimer St, Denver, CO, 80205",80205,,45,3.5,$,"Mexican,
                    Tex-Mex",https://www.yelp.com/biz/la-casa-de-manuel-denver
984,Village Inn,Yes,"400 W 48th Ave, Denver, CO, 80216",80216,villageinn.com,38,3.5,$$,"Diners,
                    Burgers,
                    Breakfast & Brunch",https://www.yelp.com/biz/village-inn-denver-16
983,Pressed Juice Daily,Yes,"1111 N Broadway, Ste 101A, Denver, CO, 80203",80203,pressedjuicedaily.com,68,4.5,$,"Live/Raw Food,
                    Juice Bars & Smoothies,
                    Vegan",https://www.yelp.com/biz/pressed-juice-daily-denver-5
982,La Mexicana Taqueria at Highlands,Yes,"2538 W 32nd Ave, Denver, CO, 80211",80211,lamexicanataqueriaathighlands…,139,4,$,Mexican,https://www.yelp.com/biz/la-mexicana-taqueria-at-highlands-denver-3
981,Milwaukee Street Tavern,Yes,"201 Milwaukee St, Denver, CO, 80206",80206,milwaukee-st-tavern.com,110,3.5,$$,"American (Traditional),
                    Sports Bars",https://www.yelp.com/biz/milwaukee-street-tavern-denver
980,il porcellino Salumi,Yes,"4324 W 41st Ave, Denver, CO, 80212",80212,ilporcellinodenver.com,90,4.5,$$,"Delis,
                    Meat Shops,
                    Sandwiches",https://www.yelp.com/biz/il-porcellino-salumi-denver-2
979,Zaidy’s Deli,Yes,"121 Adams St, Denver, CO, 80206",80206,zaidysdeli.com,301,3.5,$$,"Delis,
                    Breakfast & Brunch",https://www.yelp.com/biz/zaidys-deli-denver
978,Olive & Finch,Yes,"3390 E 1st Ave, Denver, CO, 80206",80206,oliveandfincheatery.com,156,4,$$,"American (New),
                    Bakeries,
                    Coffee & Tea",https://www.yelp.com/biz/olive-and-finch-denver-7
977,Vinue Food and Wine Bar,Yes,"2817 E 3rd Ave, Ste A, Denver, CO, 80206",80206,,190,4,$$,"Wine Bars,
                    American (New),
                    Tapas/Small Plates",https://www.yelp.com/biz/vinue-food-and-wine-bar-denver
976,The Original Pasquini’s,Yes,"1310 S Broadway, Denver, CO, 80210",80210,originalpasquinis.com,345,3,$$,"Italian,
                    Pizza",https://www.yelp.com/biz/the-original-pasquinis-denver
975,Capitol Pizza,Yes,"329 E Colfax Ave, Denver, CO, 80203",80203,itscapitolpizza.com,73,4,$,"Pizza,
                    Salad,
                    Sandwiches",https://www.yelp.com/biz/capitol-pizza-denver
974,Tim’s Kitchen,Yes,"1101 E Bayaud Ave, Fifth Floor, Denver, CO, 80209",80209,,1,5,$$,Tapas/Small Plates,https://www.yelp.com/biz/tims-kitchen-denver
973,T Street Roadhouse,Yes,"445 S Teller St, Lakewood, CO, 80226",80226,tstreetroadhouse.com,364,4,$$,"Salad,
                    Burgers,
                    Pizza",https://www.yelp.com/biz/t-street-roadhouse-lakewood
972,Grammy’s Italian Goodies,Yes,"4601 Harlan St, Wheat Ridge, CO, 80033",80033,grammysitaliangoodies.com,202,4.5,$$,"Italian,
                    Pizza,
                    Desserts",https://www.yelp.com/biz/grammys-italian-goodies-wheat-ridge
